,,,,,,,,,,,,,,,,,,,,,,,,,
Player_num,Position,T1_cleats,T2_cleats,T3_cleats,T4_cleats,T5_cleats,T6_cleats,AVG_TIME_cleats,T1_tshoes,T2_tshoes,T3_tshoes,T4_tshoes,T5_tshoes,T6_tshoes,AVG_TIME_tshoes,T1_barefoot,T2_barefoot,T3_barefoot,T4_barefoot,T5_barefoot,T6_barefoot,AVG_TIME_barefoot,,,
1,O,3.68,3.72,3.76,3.71,3.79,3.8,3.74,3.76,3.87,3.8,3.69,3.63,3.65,3.73,3.69,3.72,3.75,3.79,3.87,3.9,3.79,,,
2,I,4.09,4.12,3.95,3.98,3.99,4,4.02,4.26,4.23,4.19,4.24,4.29,4.23,4.24,4.01,4.19,4.08,4.25,4.18,4.29,4.17,,,
3,P,4,4.41,4.12,4.23,4.25,4.11,4.19,4.3,4.28,4.24,4.3,4.32,4,4.24,4.18,4.21,4.22,4.23,4.24,4.26,4.22,,Day 2:,45 degrees
4,O,3.95,4.01,3.8,3.76,3.88,3.92,3.89,4.08,4.06,3.9,4.13,4.18,4.12,4.08,3.8,3.7,4.2,4.04,4.02,4.06,3.97,,,wind: 12 mph
5,I,3.94,3.92,4.06,3.98,3.91,3.9,3.95,3.96,4.13,4.04,4.11,4.09,4.06,4.07,3.97,3.96,4.1,4.02,3.88,4.11,4.01,,Day 3:,
6,I,3.82,3.83,3.76,3.8,3.8,3.78,3.80,3.93,3.95,4.07,3.88,3.75,3.91,3.92,3.89,3.91,3.94,3.89,3.91,3.94,3.91,,,
8,C ,4.08,4.16,4.19,4.2,4.11,4.13,4.15,4.22,4.24,4.22,4.24,4.3,4.13,4.23,4.18,4.3,4.26,4.28,4.27,4.26,4.26,,,
9,C,4.22,4.21,4.05,4.14,4.09,4.13,4.14,4.24,4.31,4.29,4.22,4.24,4.25,4.26,4.19,4.15,4.12,4.14,4.31,4.27,4.20,,,
10,C,4.17,4.18,4.05,4.06,4.09,4.1,4.11,4.12,4.1,4.18,4.07,4.25,4.21,4.16,4.2,4.16,4.13,4.19,4.18,4.24,4.18,,,
11,O,3.76,3.7,3.81,3.79,3.74,3.79,3.77,3.78,3.9,3.81,3.79,3.88,3.86,3.84,3.78,3.88,3.79,3.82,3.86,3.79,3.82,,,
12,O,3.73,3.65,3.69,3.68,3.71,3.72,3.70,4,3.98,4.04,4.02,4.06,3.9,4.00,3.94,3.91,3.89,3.87,3.92,3.89,3.90,,,
13,P,4.38,4.41,4.39,4.4,4.3,4.24,4.35,4.45,4.39,4.42,4.41,4.45,4.52,4.44,4.43,4.34,4.3,4.45,4.56,4.59,4.45,,,
14,P,4.21,4.19,4.26,4.21,3.9,4.2,4.16,4.44,4.45,4.35,4.29,4.32,4.38,4.37,4.45,4.39,4.41,4.5,4.06,4.34,4.36,,,
15,P,4.51,4.43,4.46,4.39,4.41,3.98,4.36,4.5,4.52,4.49,4.53,4.2,4.39,4.44,4.38,4.22,4.44,4.39,4.44,4.44,4.39,,,
16,P,4.22,4.19,4.23,4.21,4.18,4.13,4.19,4.34,4.36,4.29,4.11,4.29,4.26,4.28,4.19,4.2,4.18,4.23,4.3,4.36,4.24,,,
17,C,3.9,4.08,3.93,3.96,3.94,3.89,3.95,4.07,4.01,4.05,4.23,4.11,4.16,4.11,4.22,4.25,4.22,4.25,4.28,4.26,4.25,,,
18,O,4.31,4.4,4.26,4.37,4.32,4.05,4.29,4.35,4.37,4.31,4.31,4.32,4.29,4.33,4.43,4.34,4.3,4.48,4.42,4.43,4.40,,,
19,P,4.38,4.35,4.39,4.4,4.17,4.22,4.32,4.44,4.43,4.41,4.47,4.46,4.39,4.43,4.31,4.22,4.27,4.28,4.3,4.94,4.39,,,
20,I,3.9,3.86,3.91,3.9,3.82,3.94,3.89,3.98,4.02,4.07,4.03,4.01,4,4.02,3.9,3.95,3.99,4.2,3.87,4.1,4.00,,,
21,P,3.92,3.86,3.89,3.91,3.9,3.85,3.89,3.98,3.98,3.99,3.98,4.04,4,4.00,3.85,3.79,3.77,3.76,3.81,3.84,3.80,,,
23,I,3.8,3.9,3.97,3.94,4.01,4.12,3.96,4.05,4.19,4.1,4.2,4.29,4.25,4.18,4.13,4.28,4.35,4.4,4.23,4.29,4.28,,,
24,P,4.02,3.98,3.99,4.01,4,3.91,3.99,4.04,4.05,4.1,4.1,4.05,3.94,4.05,4.02,3.9,3.98,3.97,4.1,4,4.00,,,
26,P,4.31,4.3,4.29,4.31,4.29,4.21,4.29,4.6,4.52,4.54,4.51,4.19,4.21,4.43,4.51,4.49,4.49,4.48,4.45,4.41,4.47,,,
27,P,3.89,3.95,3.99,3.92,3.94,3.95,3.94,4.1,4.04,3.98,3.99,3.98,4.01,4.02,3.86,3.9,4.07,4.09,4.19,4.01,4.02,,,
28,I,4.14,4.18,3.99,3.91,3.92,4,4.02,4.22,4.1,4.21,4.19,4.04,4.02,4.13,4.19,4.16,4.21,4.19,4.24,4.26,4.21,,,
34,P,4.19,4.22,4.21,4.21,4.21,4.21,4.21,4.32,4.35,4.39,4.38,4.24,4.32,4.33,4.28,4.23,4.25,4.28,4.39,4.31,4.29,,,
36,O,3.78,3.88,3.94,3.82,3.59,3.8,3.80,3.88,3.87,4,3.8,3.76,3.74,3.84,3.71,4.05,3.72,3.76,4.12,4.11,3.91,,,
44,I,3.9,3.82,3.89,3.91,3.79,3.85,3.86,4.01,3.97,4.1,4.1,3.96,3.9,4.01,4.02,3.9,4,4.1,4.18,4.19,4.07,,,